LAD20CD,LAD20NM,CTYUA20CD,CTYUA20NM,GOV_NM,RGN19CD,RGN19NM,CTRY19CD,CTRY19NM,Tier
E07000153,Kettering,E10000021,Northamptonshire,Northamptonshire,E12000004,East Midlands,E92000001,England,2
E07000154,Northampton,E10000021,Northamptonshire,Northamptonshire,E12000004,East Midlands,E92000001,England,2
E07000155,South Northamptonshire,E10000021,Northamptonshire,Northamptonshire,E12000004,East Midlands,E92000001,England,2
E07000156,Wellingborough,E10000021,Northamptonshire,Northamptonshire,E12000004,East Midlands,E92000001,England,2
E07000163,Craven,E10000023,North Yorkshire,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,2
E07000164,Hambleton,E10000023,North Yorkshire,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,2
E07000165,Harrogate,E10000023,North Yorkshire,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,2
E07000166,Richmondshire,E10000023,North Yorkshire,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,2
E07000167,Ryedale,E10000023,North Yorkshire,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,2
E07000168,Scarborough,E10000023,North Yorkshire,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,2
E07000169,Selby,E10000023,North Yorkshire,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,2
E07000170,Ashfield,E10000024,Nottinghamshire,Nottingham and Nottinghamshire,E12000004,East Midlands,E92000001,England,3
E07000171,Bassetlaw,E10000024,Nottinghamshire,Nottingham and Nottinghamshire,E12000004,East Midlands,E92000001,England,3
E07000172,Broxtowe,E10000024,Nottinghamshire,Nottingham and Nottinghamshire,E12000004,East Midlands,E92000001,England,3
E07000173,Gedling,E10000024,Nottinghamshire,Nottingham and Nottinghamshire,E12000004,East Midlands,E92000001,England,3
E07000174,Mansfield,E10000024,Nottinghamshire,Nottingham and Nottinghamshire,E12000004,East Midlands,E92000001,England,3
E07000175,Newark and Sherwood,E10000024,Nottinghamshire,Nottingham and Nottinghamshire,E12000004,East Midlands,E92000001,England,3
E07000176,Rushcliffe,E10000024,Nottinghamshire,Nottingham and Nottinghamshire,E12000004,East Midlands,E92000001,England,3
E07000177,Cherwell,E10000025,Oxfordshire,Oxfordshire,E12000008,South East,E92000001,England,2
E07000178,Oxford,E10000025,Oxfordshire,Oxfordshire,E12000008,South East,E92000001,England,2
