date,nhs_name,sgtf,other
2020-12-07,South East,1341,696
2020-12-07,South West,69,241
2020-12-08,East of England,655,377
2020-12-08,London,1121,718
2020-12-08,Midlands,235,1836
2020-12-08,North East and Yorkshire,108,1233
2020-12-08,North West,74,1007
2020-12-08,South East,1203,563
2020-12-08,South West,65,176
2020-12-09,East of England,702,397
2020-12-09,London,1453,800
2020-12-09,Midlands,305,1900
2020-12-09,North East and Yorkshire,117,1246
2020-12-09,North West,75,1095
2020-12-09,South East,1149,524
2020-12-09,South West,77,214
2020-12-10,East of England,439,240
2020-12-10,London,998,617
2020-12-10,Midlands,326,1779
2020-12-10,North East and Yorkshire,136,1114
2020-12-10,North West,117,1056
2020-12-10,South East,941,487
2020-12-10,South West,76,201
2020-12-11,East of England,807,426
2020-12-11,London,2103,1059
2020-12-11,Midlands,354,1820
2020-12-11,North East and Yorkshire,162,1127
2020-12-11,North West,125,979
2020-12-11,South East,1478,620
2020-12-11,South West,69,195
2020-12-12,East of England,944,425
2020-12-12,London,2389,1066
2020-12-12,Midlands,348,1408
2020-12-12,North East and Yorkshire,145,920
2020-12-12,North West,109,851
2020-12-12,South East,1636,527
2020-12-12,South West,54,159
2020-12-13,East of England,1223,444
2020-12-13,London,3116,1204
2020-12-13,Midlands,411,1331
2020-12-13,North East and Yorkshire,177,954
2020-12-13,North West,120,856
2020-12-13,South East,2002,693
2020-12-13,South West,70,183
2020-12-14,East of England,1527,696
2020-12-14,London,4145,1752
2020-12-14,Midlands,709,2356
2020-12-14,North East and Yorkshire,292,1402
2020-12-14,North West,243,1397
2020-12-14,South East,2626,934
2020-12-14,South West,127,244
2020-12-15,East of England,1443,459
2020-12-15,London,4333,1522
2020-12-15,Midlands,688,2019
2020-12-15,North East and Yorkshire,314,1377
2020-12-15,North West,294,1276
2020-12-15,South East,2255,742
2020-12-15,South West,147,245
2020-12-16,East of England,1014,326
2020-12-16,London,4318,1436
2020-12-16,Midlands,473,1084
2020-12-16,North East and Yorkshire,307,1148
2020-12-16,North West,289,1202
2020-12-16,South East,2116,703
2020-12-16,South West,167,242
2020-12-17,East of England,1111,272
2020-12-17,London,4090,1231
2020-12-17,Midlands,276,573
2020-12-17,North East and Yorkshire,303,907
2020-12-17,North West,276,990
2020-12-17,South East,1788,507
2020-12-17,South West,123,203
2020-12-18,East of England,938,216
2020-12-18,London,2328,615
2020-12-18,Midlands,251,526
2020-12-18,North East and Yorkshire,195,442
2020-12-18,North West,311,1107
2020-12-18,South East,1561,554
2020-12-18,South West,140,219
2020-12-19,East of England,1074,272
2020-12-19,London,2178,573
2020-12-19,Midlands,441,728
2020-12-19,North East and Yorkshire,171,507
2020-12-19,North West,148,467
2020-12-19,South East,1245,280
2020-12-19,South West,93,126
2020-12-20,East of England,1617,408
2020-12-20,London,2376,526
2020-12-20,Midlands,347,581
2020-12-20,North East and Yorkshire,484,1016
2020-12-20,North West,343,937
2020-12-20,South East,2244,619
2020-12-20,South West,236,210
2020-12-21,East of England,1627,327
2020-12-21,London,2312,520
2020-12-21,Midlands,1023,1297
2020-12-21,North East and Yorkshire,650,1571
2020-12-21,North West,594,1216
2020-12-21,South East,1615,412
2020-12-21,South West,240,299
2020-12-22,East of England,1884,416
2020-12-22,London,2027,413
2020-12-22,Midlands,1182,1401
2020-12-22,North East and Yorkshire,769,1771
2020-12-22,North West,520,1180
2020-12-22,South East,1363,266
2020-12-22,South West,71,112
2020-12-23,East of England,1255,254
2020-12-23,London,1672,395
2020-12-23,Midlands,1064,1170
2020-12-23,North East and Yorkshire,757,1390
2020-12-23,North West,490,1006
2020-12-23,South East,1743,521
2020-12-23,South West,491,501
2020-12-24,East of England,1812,339
2020-12-24,London,4190,923
2020-12-24,Midlands,1052,1010
2020-12-24,North East and Yorkshire,598,1049
2020-12-24,North West,718,1272
2020-12-24,South East,2961,723
2020-12-24,South West,426,380
2020-12-25,East of England,1216,242
2020-12-25,London,2799,444
2020-12-25,Midlands,609,598
2020-12-25,North East and Yorkshire,283,490
2020-12-25,North West,275,337
2020-12-25,South East,1170,212
2020-12-25,South West,6,5
2020-12-26,East of England,2518,425
2020-12-26,London,5008,822
2020-12-26,Midlands,1488,1033
2020-12-26,North East and Yorkshire,867,1185
2020-12-26,North West,569,827
2020-12-26,South East,3167,560
2020-12-26,South West,40,52
2020-12-27,East of England,2124,345
2020-12-27,London,4923,643
2020-12-27,Midlands,1665,1308
2020-12-27,North East and Yorkshire,1150,1465
2020-12-27,North West,862,1175
2020-12-27,South East,2955,456
