sample_date,nhs,all,var2,nhs_name
2020-04-15,E40000005,49,0,South East
2020-04-15,E40000006,62,0,South West
2020-04-15,E40000007,73,0,East of England
2020-04-15,E40000008,17,0,Midlands
2020-04-15,E40000009,38,0,North East and Yorkshire
2020-04-15,E40000010,16,0,North West
2020-04-15,N99999999,29,0,Northern Ireland
2020-04-15,S99999999,115,0,Scotland
2020-04-15,W99999999,83,0,Wales
2020-04-16,E40000003,56,0,London
2020-04-16,E40000005,45,0,South East
2020-04-16,E40000006,94,0,South West
2020-04-16,E40000007,94,0,East of England
2020-04-16,E40000008,33,0,Midlands
2020-04-16,E40000009,45,0,North East and Yorkshire
2020-04-16,E40000010,14,0,North West
2020-04-16,N99999999,37,0,Northern Ireland
2020-04-16,S99999999,123,0,Scotland
2020-04-16,W99999999,76,0,Wales
2020-04-17,E40000003,43,0,London
2020-04-17,E40000005,30,0,South East
2020-04-17,E40000006,70,0,South West
2020-04-17,E40000007,80,0,East of England
2020-04-17,E40000008,24,0,Midlands
2020-04-17,E40000009,46,0,North East and Yorkshire
2020-04-17,E40000010,19,0,North West
2020-04-17,N99999999,30,0,Northern Ireland
2020-04-17,S99999999,98,0,Scotland
2020-04-17,W99999999,55,0,Wales
2020-04-18,E40000003,25,0,London
2020-04-18,E40000005,28,0,South East
2020-04-18,E40000006,53,0,South West
2020-04-18,E40000007,63,0,East of England
2020-04-18,E40000008,11,0,Midlands
2020-04-18,E40000009,54,0,North East and Yorkshire
2020-04-18,E40000010,9,0,North West
2020-04-18,N99999999,7,0,Northern Ireland
2020-04-18,S99999999,86,0,Scotland
2020-04-18,W99999999,65,0,Wales
2020-04-19,E40000003,23,0,London
2020-04-19,E40000005,22,0,South East
2020-04-19,E40000006,49,0,South West
2020-04-19,E40000007,64,0,East of England
2020-04-19,E40000008,14,0,Midlands
2020-04-19,E40000009,28,0,North East and Yorkshire
2020-04-19,E40000010,12,0,North West
2020-04-19,N99999999,9,0,Northern Ireland
2020-04-19,S99999999,34,0,Scotland
2020-04-19,W99999999,71,0,Wales
2020-04-20,E40000003,68,0,London
2020-04-20,E40000005,45,0,South East
2020-04-20,E40000006,79,0,South West
2020-04-20,E40000007,95,0,East of England
2020-04-20,E40000008,18,0,Midlands
2020-04-20,E40000009,34,0,North East and Yorkshire
2020-04-20,E40000010,17,0,North West
2020-04-20,N99999999,27,0,Northern Ireland
2020-04-20,S99999999,104,0,Scotland
2020-04-20,W99999999,116,0,Wales
2020-04-21,E40000003,44,0,London
2020-04-21,E40000005,39,0,South East
2020-04-21,E40000006,54,0,South West
2020-04-21,E40000007,91,0,East of England
2020-04-21,E40000008,14,0,Midlands
2020-04-21,E40000009,38,0,North East and Yorkshire
2020-04-21,E40000010,11,0,North West
2020-04-21,N99999999,24,0,Northern Ireland
2020-04-21,S99999999,141,0,Scotland
2020-04-21,W99999999,47,0,Wales
2020-04-22,E40000003,29,0,London
2020-04-22,E40000005,36,0,South East
2020-04-22,E40000006,57,0,South West
2020-04-22,E40000007,113,0,East of England
2020-04-22,E40000008,26,0,Midlands
2020-04-22,E40000009,60,0,North East and Yorkshire
2020-04-22,E40000010,11,0,North West
2020-04-22,N99999999,26,0,Northern Ireland
2020-04-22,S99999999,128,0,Scotland
2020-04-22,W99999999,29,0,Wales
2020-04-23,E40000003,24,0,London
2020-04-23,E40000005,31,0,South East
2020-04-23,E40000006,62,0,South West
2020-04-23,E40000007,76,0,East of England
2020-04-23,E40000008,37,0,Midlands
2020-04-23,E40000009,46,0,North East and Yorkshire
2020-04-23,E40000010,8,0,North West
2020-04-23,N99999999,12,0,Northern Ireland
2020-04-23,S99999999,95,0,Scotland
2020-04-23,W99999999,37,0,Wales
2020-04-24,E40000003,14,0,London
2020-04-24,E40000005,23,0,South East
2020-04-24,E40000006,48,0,South West
2020-04-24,E40000007,51,0,East of England
2020-04-24,E40000008,20,0,Midlands
2020-04-24,E40000009,56,0,North East and Yorkshire
2020-04-24,E40000010,7,0,North West
2020-04-24,N99999999,12,0,Northern Ireland
2020-04-24,S99999999,104,0,Scotland
2020-04-24,W99999999,77,0,Wales
2020-04-25,E40000003,6,0,London
2020-04-25,E40000005,10,0,South East
2020-04-25,E40000006,22,0,South West
2020-04-25,E40000007,43,0,East of England
2020-04-25,E40000008,14,0,Midlands
2020-04-25,E40000009,19,0,North East and Yorkshire
2020-04-25,E40000010,8,0,North West
2020-04-25,N99999999,15,0,Northern Ireland
2020-04-25,S99999999,60,0,Scotland
2020-04-25,W99999999,44,0,Wales
2020-04-26,E40000003,10,0,London
2020-04-26,E40000005,11,0,South East
2020-04-26,E40000006,20,0,South West
2020-04-26,E40000007,53,0,East of England
2020-04-26,E40000008,18,0,Midlands
2020-04-26,E40000009,24,0,North East and Yorkshire
2020-04-26,E40000010,6,0,North West
2020-04-26,N99999999,4,0,Northern Ireland
2020-04-26,S99999999,52,0,Scotland
2020-04-26,W99999999,20,0,Wales
2020-04-27,E40000003,12,0,London
2020-04-27,E40000005,24,0,South East
2020-04-27,E40000006,51,0,South West
2020-04-27,E40000007,79,0,East of England
2020-04-27,E40000008,19,0,Midlands
2020-04-27,E40000009,60,0,North East and Yorkshire
2020-04-27,E40000010,7,0,North West
2020-04-27,N99999999,11,0,Northern Ireland
2020-04-27,S99999999,85,0,Scotland
2020-04-27,W99999999,80,0,Wales
2020-04-28,E40000003,14,0,London
